date,service,type
"2012-09-04 15:57:31 +0000","twitter","tweet"
"2012-05-10 09:24:07 +0000","twitter","tweet"
"2012-05-10 07:39:55 +0000","twitter","tweet"
"2012-05-06 15:59:08 +0000","twitter","tweet"
"2012-05-06 14:39:08 +0000","twitter","tweet"
"2012-04-26 03:19:12 +0000","twitter","tweet"
"2012-04-24 03:11:23 +0000","twitter","tweet"
"2012-04-24 03:03:45 +0000","twitter","tweet"
"2012-04-23 17:28:40 +0000","twitter","tweet"
"2012-04-21 07:07:56 +0000","twitter","tweet"
"2012-04-18 08:06:52 +0000","twitter","tweet"
"2012-04-17 13:54:20 +0000","twitter","tweet"
"2012-04-13 09:03:00 +0000","twitter","tweet"
"2012-04-12 08:16:49 +0000","twitter","tweet"
"2012-04-11 11:52:21 +0000","twitter","tweet"
"2012-04-09 11:10:31 +0000","twitter","tweet"
"2012-04-09 11:09:20 +0000","twitter","tweet"
"2012-04-02 11:41:37 +0000","twitter","tweet"
"2012-04-02 03:41:49 +0000","twitter","tweet"
"2012-03-31 16:25:20 +0000","twitter","tweet"
"2012-03-31 15:57:37 +0000","twitter","tweet"
"2012-03-31 15:47:06 +0000","twitter","tweet"
"2012-03-31 13:41:43 +0000","twitter","tweet"
"2012-03-30 03:42:57 +0000","twitter","tweet"
"2012-03-29 11:19:05 +0000","twitter","tweet"
"2012-03-28 10:25:21 +0000","twitter","tweet"
"2012-03-27 19:22:34 +0000","twitter","tweet"
"2012-03-27 15:43:54 +0000","twitter","tweet"
"2012-03-27 11:24:31 +0000","twitter","tweet"
"2012-03-27 08:56:52 +0000","twitter","tweet"
"2012-03-27 08:40:44 +0000","twitter","tweet"
"2012-03-26 07:22:03 +0000","twitter","tweet"
"2012-03-24 17:15:32 +0000","twitter","tweet"
"2012-03-24 17:09:17 +0000","twitter","tweet"
"2012-03-23 11:14:18 +0000","twitter","tweet"
"2012-03-23 09:38:18 +0000","twitter","tweet"
"2012-03-22 07:20:26 +0000","twitter","tweet"
"2012-03-15 03:20:35 +0000","twitter","tweet"
"2012-03-14 12:08:01 +0000","twitter","tweet"
"2012-03-13 02:35:16 +0000","twitter","tweet"
"2012-02-29 02:59:14 +0000","twitter","tweet"
"2012-02-28 15:18:10 +0000","twitter","tweet"
"2012-02-10 08:11:16 +0000","twitter","tweet"
"2012-02-09 03:11:12 +0000","twitter","tweet"
"2012-02-01 04:04:14 +0000","twitter","tweet"
"2012-01-31 06:07:52 +0000","twitter","tweet"
"2012-01-26 10:38:24 +0000","twitter","tweet"
"2012-01-25 03:48:58 +0000","twitter","tweet"
"2012-01-25 03:28:39 +0000","twitter","tweet"
"2012-01-25 03:21:08 +0000","twitter","tweet"
"2012-01-24 01:58:59 +0000","twitter","tweet"
"2012-01-20 09:10:38 +0000","twitter","tweet"
"2012-01-20 09:04:55 +0000","twitter","tweet"
"2012-01-20 09:01:17 +0000","twitter","tweet"
"2012-01-20 02:14:43 +0000","twitter","tweet"
"2012-01-19 16:08:36 +0000","twitter","tweet"
"2012-01-19 07:35:30 +0000","twitter","tweet"
"2012-01-19 07:05:37 +0000","twitter","tweet"
"2012-01-19 03:22:22 +0000","twitter","tweet"
"2012-01-18 16:07:14 +0000","twitter","tweet"
"2012-01-18 07:15:46 +0000","twitter","tweet"
"2012-01-18 04:28:21 +0000","twitter","tweet"
"2012-01-17 03:56:35 +0000","twitter","tweet"
"2012-01-13 08:14:02 +0000","twitter","tweet"
"2012-01-13 07:59:14 +0000","twitter","tweet"
"2012-01-12 09:36:22 +0000","twitter","tweet"
"2012-01-12 02:53:21 +0000","twitter","tweet"
"2012-01-11 14:27:44 +0000","twitter","tweet"
"2012-01-11 08:39:17 +0000","twitter","tweet"
"2012-01-11 08:07:41 +0000","twitter","tweet"
"2012-01-10 16:28:58 +0000","twitter","tweet"
"2012-01-10 16:11:33 +0000","twitter","tweet"
